ID,所属游戏,标题,别名,编码,所属期数,第一張卡url,最後一張卡url,備註,如何找尋卡片 url ?,
,1,漫畫-YZ02,YZ02,YZ02,-1,,,,,
,1,漫畫-YZ03,YZ03,YZ03,-1,,,,,
,1,漫畫-YZ04,YZ04,YZ04,-1,,,,,
,1,漫畫-YZ05,YZ05,YZ05,-1,,,,,
,1,漫畫-YZ06,YZ06,YZ06,-1,,,,,
,1,漫畫-YZ07,YZ07,YZ07,-1,,,,,
,1,漫畫-YZ08,YZ08,YZ08,-1,,,,,
,1,漫畫-YZ09,YZ09,YZ09,-1,,,,,
,1,電影包-YMP1,YMP1,YMP1,-1,,,,,
,1,電影附贈卡-JMPR,JMPR,JMPR,-1,,,,,
,1,電影附贈卡-MOV2,MOV2,MOV2,-1,,,,,
,1,電影附贈卡-MOV,MOV,MOV,-1,,,,,
,1,電影附贈卡-MVPC,MVPC,MVPC,-1,,,,,
,1,應募包-LE01,LE01,LE01,-1,,,,,
,1,應募包-LE02,LE02,LE02,-1,,,,,
,1,應募包-LE03,LE03,LE03,-1,,,,,
,1,應募包-LE04,LE04,LE04,-1,,,,,
,1,應募包-LE05,LE05,LE05,-1,,,,,
,1,應募包-LE06,LE06,LE06,-1,,,,,
,1,應募包-LE07,LE07,LE07,-1,,,,,
,1,應募包-LE08,LE08,LE08,-1,,,,,
,1,應募包-LE09,LE09,LE09,-1,,,,,
,1,應募包-LE10,LE10,LE10,-1,,,,,
,1,應募包-LE11,LE11,LE11,-1,,,,,
,1,應募包-LE12,LE12,LE12,-1,,,,,
,1,應募包-LE13,LE13,LE13,-1,,,,,
,1,應募包-LE14,LE14,LE14,-1,,,,,
,1,應募包-LE15,LE15,LE15,-1,,,,,
,1,應募包-LE16,LE16,LE16,-1,,,,,
,1,應募包-LE17,LE17,LE17,-1,,,,,
,1,應募包-VE01,VE01,VE01,-1,,,,,
,1,應募包-VE02,VE02,VE02,-1,,,,,
,1,應募包-VE03,VE03,VE03,-1,,,,,
,1,應募包-VE04,VE04,VE04,-1,,,,,
,1,應募包-VE05,VE05,VE05,-1,,,,,
